"filename", "language", "JSON with Comments", "Markdown", "TypeScript", "JSON", "JavaScript", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Code\ABC\the-adventures-of-muni\README.md", "Markdown", 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Code\ABC\the-adventures-of-muni\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Code\ABC\the-adventures-of-muni\next.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Code\ABC\the-adventures-of-muni\package-lock.json", "JSON", 0, 0, 0, 6017, 0, 0, 0, 0, 0, 1, 6018
"c:\Code\ABC\the-adventures-of-muni\package.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"c:\Code\ABC\the-adventures-of-muni\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 2, 9
"c:\Code\ABC\the-adventures-of-muni\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Code\ABC\the-adventures-of-muni\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 48, 27, 12, 87
"c:\Code\ABC\the-adventures-of-muni\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 32, 0, 0, 5, 37
"c:\Code\ABC\the-adventures-of-muni\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
